Alimento|Código|Categoría
Bizcochuelo preparado a partir de polvo premezcla, SIN TACC|A112|Pasteleria
Bollitos de anís|A113|Pasteleria
Brownie (panadería)|A236|Pasteleria
Budín industrializado|A114|Pasteleria
Budín industrializado con nueces, tipo navideño|A234|Pasteleria
Capelettis / capelettinis deshidratados, envasados|A115|Pasteleria
Capelettis frescos, artesanal|A011|
Cereal desayuno, aritos frutales|A074|Cereales azucarados
Cereal desayuno, aritos sabor miel|A182|Cereales azucarados
Cereal desayuno, bolitas de chocolate|A194|Cereales azucarados
Cereal desayuno, copos de maíz sin azúcar, sin fortificar|A075|
Cereal infantil para papilla|A116|
Cheesecake (panadería / confitería)|A248|Pasteleria
Chipá|A013|Pasteleria
Chipá preparado a partir de polvo premezcla|A120|Pasteleria
Chipaco o pan con chicharrón, comprado|A216|Pasteleria
Choclo|A076|
Choclo, congelado en grano|A176|
Choclo, enlatado cremoso|A078|
Choclo, enlatado en grano|A077|
Churros|A014|Pasteleria
Cereal desayuno, copos de cereal integral (arroz y maíz), fortificados|A180|Cereales azucarados
Cereal desayuno, copos azucarados, sin fortificar|A012|Cereales azucarados
Cereal desayuno, copos azucarados, fortificados|A117|Cereales azucarados
Coquitos (panadería)|A204|Pasteleria
Cous Cous|A118|
Cucurucho / cubanito|A119|Pasteleria
Empanaditas chinas (restaurant)|A250|
Facturas rellenas|A015|Pasteleria
Facturas simples|A016|Pasteleria
Farofa tradicional, harina de mandioca condimentada, envasada lista para preparar|A192|
Fideos de arroz, SIN TACC|A207|
Fideos frescos, al huevo|A017|
Fideos secos|A018|
Fideos secos, fortificados|A121|
Fideos secos integrales / fideos secos de sémola y harina de legumbres|A122|
Frangollo (maíz seco pisado)|A201|
Galleta de campo|A064|
Galleta de grasa con chicharrón|A206|
Galleta marinera|A065|
Galleta marinera con semillas / galletitas crackers con semillas|A188|
Galleta marinera integral|A253|
Galleta marinera, light en grasas|A203|
Galletas de arroz|A019|
Galletas de arroz horneadas tipo snack varios sabores|A185|
Galletas de arroz sin sal|A123|
Galletitas integrales sin sal|A067|Galletitas
Galletitas dulces con centro de membrillo o similar (tipo Pepas)|A186|Galletitas
Galletitas dulces con chips de chocolate|A181|Galletitas
Galletitas dulces hojaldradas|A220|Galletitas
Galletitas dulces rellenas|A023|Galletitas
Galletitas dulces rellenas bañadas en chocolate|A211|Galletitas
Galletitas dulces simples|A024|Galletitas
Galletitas dulces sin azúcar agregada, con edulcorante (dietética)|A205|Galletitas
Galletitas dulces, SIN TACC|A124|Galletitas
Galletitas dulces de almidón de maíz (tapita de alfajor)|A177|Galletitas
Galletitas dulces tipo Frutigran|A125|Galletitas
Galletitas dulces obleas|A068|Galletitas
Galletitas de agua, PROMEDIO|A020|Galletitas
Galletitas de agua sin sal|A066|Galletitas
Galletitas de agua sin sal con chía y lino|A258|Galletitas
Galletitas de agua con girasol alto oleico|A127|Galletitas
Galletitas de agua con grasa vacuna|A021|Galletitas
Galletitas de agua light|A247|Galletitas
Galletitas de salvado o integrales|A022|Galletitas
Galletitas tipo copetín|A126|Galletitas
Galletitas tipo talitas o fajitas|A198|Galletitas
Galletitas de vainilla con chips de chocolate (panadería)|A254|Galletitas
Garbanzos|A025|
Garbanzos, enlatados|A128|
Gérmen de trigo|A129|
Granola|A026|
Grisines|A069|Galletitas
Grisines sin sal|A130|Galletitas
Guiso de lentejas (envasado, fortificado con vitaminas y minerales)|A244|
Hamburguesa de quinoa envasada|A260|
Hamburguesa de soja congelada|A175|
Harina de algarrobo|A027|
Harina de arroz|A028|
Harina de cebada|A029|
Harina de centeno|A030|
Harina de chía|A212|
Harina de garbanzos|A131|
Harina de maíz|A031|
Harina de quinoa|A070|
Harina de soja|A032|
Harina de trigo|A033|
Harina de trigo con levadura para pizza|A202|
Harina de trigo fortificada|A132|
Harina de trigo integral|A034|
Harina leudante|A133|
Lentejas|A035|
Lentejas, enlatadas|A134|
Milanesa de lentejas (dietética)|A259|
Levadura en polvo|A178|
Levadura fresca|A179|
Madalenas|A135|Galletitas
Madalenas rellenas|A187|Galletitas
Madalenas fortificadas|A136|Galletitas
Maíz, grano entero|A036|
Masa de pizza, preparada a partir de polvo premezcla|A197|
Masa de pizza, preparada a partir de polvo premezcla, SIN TACC|A138|
Masa de prepizza de panadería o envasada|A038|
Masa de tarta o empanadas|A037|
Masa de tarta o empanadas light|A139|
Masa de tarta o empanada, integral|A252|
Masa de tarta, SIN TACC|A218|
Masas finas surtidas (panadería / confitería)|A242|
Masas secas surtidas (panadería / confitería)|A232|
Muffins veganos|A217|Pasteleria
Ñoquis de espinaca envasados|A233|
Ñoquis de papa frescos, artesanal|A039|
Ñoquis de papa, envasados|A140|
Ñoquis preparados a partir de polvo premezcla|A171|
Ñoquis preparados a partir de polvo premezcla, SIN TACC|A172|
Panko (pan rallado japonés)|A241|
Pan árabe|A071|
Pan cacho (tipo pan casero de campo, sin grasa)|A215|
Pan con grasa (tipo pan cordero)|A240|
Pan criollo / semita / tortillas / bollos / harinitas|A072|
Pan de centeno|A040|
Pan de gluten|A042|
Pan de maíz|A043|
Pan de miga|A044|
Pan de molde con salvado|A048|
Pan de salvado|A045|
Pan de salvado con semillas|A184|
Pan de molde con salvado sin sal|A141|
Pan de salvado sin sal (panadería)|A246|
Pan de viena|A046|
Pan dulce|A142|Pasteleria
Pan francés o pan casero sin agregado de grasa o aceite|A041|
Pan francés sin sal|A245|
Pan blanco, tipo molde, lacteado|A047|
Pan lactal, SIN TACC|A237|
Pan negro sin levadura|A049|
Pan para panchos o hamburguesas, envasado|A143|
Pan paraguayo / galleta paraguaya (bollitos con levadura, harina, grasa o manteca, leche, huevos y anís) |A231|Pasteleria
Pan rallado|A050|
Pan rallado, SIN TACC|A226|
Pan rallado, fortificado|A144|
Pan figacita de manteca|A169|
Papa|A079|
Papa, croquetas u otro preformado de papa rebozado, prefrito, congelado|A153|
Papa, puré instantáneo (polvo)*|A152|
Papas prefritas congeladas envasadas|A145|
Pastas secas, SIN TACC|A146|
Pastelitos rellenos de dulce de membrillo o batata (panadería / confitería)|A249|Pasteleria
Patay|A147|
Pionono|A148|Pasteleria
Pochoclo acaramelado|A149|Golosinas
Pochoclo salado|A150|Golosinas
Polvo de hornear|A190|
Polvo para preparar brownie*|A189|Pasteleria
Porotos|A051|
Soja, porotos|A052|
Porotos, enlatados|A151|
Milanesa de arroz, prefrita|A165|
Milanesa de soja, prefrita|A164|
Premezcla para panificados, pastas y postres, SIN TACC|A213|Pasteleria
Premezcla para bizcochuelo, SIN TACC|A256|Pasteleria
Puflito|A154|Golosinas
Quinoa inflada|A155|
Quinoa, semilla|A053|
Ravioles deshidratados, envasados|A157|
Ravioles frescos, artesanal, SIN TACC|A225|
Ravioles frescos, artesanal|A054|
Ravioles frescos, envasados|A156|
Rosca de pascuas (panadería / confitería)|A223|Pasteleria
Rosquete|A243|Pasteleria
Rosquita tipo Doughtnut|A210|Galletitas
Rosquita tipo Doughtnut bañada en chocolate|A227|Galletitas
Rosquita tipo Doughtnut de chocolate|A219|Galletitas
Rosquito de vino (cuyano)|A209|
Salvado de avena|A055|
Salvado de trigo|A056|
Cereal desayuno, salvado de trigo tipo bastoncitos|A057|Cereales azucarados
Scones (panadería / confitería)|A196|Pasteleria
Seitán, sucedáneo de carne a base de gluten de trigo|A214|
Sémola|A058|
Sémola fortificada|A195|
Soja texturizada|A170|
Sorrentinos frescos, artesanal|A200|
Sushi, PROMEDIO|A183|
Tapas para lasagna, pasta seca|A222|
Tapioca (almidón de mandioca)|A059|
Tofu|A168|
Torta de coco (panadería)|A238|Pasteleria
Torta de cumpleaños (masa, relleno y cobertura). Comprada lista para consumir, SIN TACC |A224|Pasteleria
Torta de manzana (panadería)|A251|Pasteleria
Torta de ricotta (panadería)|A235|Pasteleria
Torta frita|A062|Pasteleria
Torta mil hojas|A228|Pasteleria
Tortillas de trigo, envasadas|A208|
Tortitas Jachaleras|A158|
Tostadas de gluten|A159|Galletitas
Tostadas de mesa|A160|Galletitas
Tostadas integrales|A161|Galletitas
Tostadas light|A162|Galletitas
Tostadas sin sal|A163|Galletitas
Tostaditas saladas, saborizadas, producto tipo copetín|A221|Galletitas
Trigo burgol|A239|
Trigo, grano entero|A060|
Trigo inflado azucarado|A230|Golosinas
Triguillo|A199|
Turrón de maní con oblea tipo golosina|A173|
Turrón tipo navideño|A174|Golosinas
Tutuca|A166|Golosinas
Vainillas|A061|Galletitas
Alimento a base de leche entera y café, fortificado con calcio, varios sabores, listo para consumir |L065|
Leche chocolatada en polvo, fortificada, para desayunos escolares*|L044|Bebidas azucaradas
Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada con vitaminas A y D, lista para consumir |L001|
Leche condensada|L034|
Leche de cabra, entera, fluida|L002|
Leche de cabra, entera, en polvo*|L070|
Leche de oveja, entera, fluida|L003|
Leche de vaca, ordeñada (sin ningún tipo de procesamiento)|L067|
Leche descremada en polvo, fortificada con vitaminas A y D*|L008|
Leche descremada en polvo, tipo Nido Buen Día, fortificada con hierro y calcio* |L069|
Leche descremada fluida, con 50% más de proteínas|L060|
Leche en polvo, 25% menos de grasas saturadas, fortificada con vitaminas A, D, C, calcio y zinc* |L045|
Leche semidescremada en polvo, deslactosada*|L041|
Leche entera fluida, con azúcar, lista para consumir|L039|
Leche entera en polvo tipo Nido Fortigrow*|L055|
Leche entera en polvo, fortificada con vitaminas A y D, para desayunos escolares* |L046|
Leche entera en polvo, fortificada con vitaminas A y D*|L047|
Leche entera en polvo, Plan Vida, Ministerio de Desarrollo Social Pcia. de Bs. As., fortificada con vitaminas A y D* |L043|
Leche entera en polvo, Plan Materno Infantil / Programas Sociales / otros, fortificada con hierro, zinc y ác. ascórbico* |L033|
Leche entera en polvo, deslactosada, fortificada con vitaminas A y D*|L009|
Leche entera en polvo, fortificada con hierro*|L019|
Leche entera en polvo, Plan Materno Infantil, sin fortificación*|L032|
Leche entera en polvo, sin fortificación*|L010|
Leche entera fluida, fortificada con hierro|L020|
Leche entera fluida, con vitaminas A y D|L007|
Leche entera fluida, fortificada con vitaminas A, D y B9|L048|
Leche entera fluida, deslactosada, fortificada con vitaminas A y D|L011|
Leche entera fluida, fortificada con vitaminas A, D, C, B9 y extra calcio|L054|
Leche entera fluida, con CLA, fortificada con vitaminas A y D|L066|
Leche entera fluida, sin fortificación|L006|
Leche parcialmente descremada fluida, con Fitoesteroles y ác. Grasos Omega 3, fortificada con calcio y vitaminas A, D y E|L057|
Leche fórmula, tipo Alfaré, con proteína extensamente hidrolizada, triglicéridos de cadena media, DHA/GLA y sin lactosa, para alergia a la proteína de leche de vaca y problemas de malabsorción intestinal, en polvo*|L057|
Leche fórmula, tipo Enfabebe Confort, en polvo*|L059|
Leche fórmula, tipo GA1 Anamix Infant, en polvo*|L056|
Leche fórmula, tipo Nutrilon Pepti junior HE, en polvo*|L058|
Leche fórmula antireflujo, en polvo*|L042|
Leche fórmula 0-12 meses, hipoalergénica, tipo Nutrilón HA, NAN HA, en polvo*|L063|
Leche fórmula 0-12 meses, sin lactosa, en polvo*|L062|
Leche fórmula etapa 3, en polvo*|L035|
Leche fórmula etapa 3, sin lactosa, en polvo*|L061|
Leche fórmula etapa 3, fluida|L036|
Leche fórmula etapa 4, en polvo*|L037|
Leche fórmula etapa 4, fluida|L038|
Leche fórmula inicio, en polvo*|L022|
Leche fórmula inicio, fluida|L024|
Leche fórmula para prematuros etapa 1, en polvo*|L049|
Leche fórmula para prematuros etapa 1, fluida|L050|
Leche fórmula para prematuros etapa 2, en polvo*|L051|
Leche fórmula para prematuros etapa 2, fluida|L052|
Leche fórmula seguimiento, en polvo*|L023|
Leche fórmula seguimiento, fluida|L025|
Leche seguimiento etapa 3, sabor vainilla|L064|
Leche materna|L040|
Leche parcialmente descremada fluida, fortificada con vitaminas A, D, C y ác. fólico|L030|
Leche parcialmente descremada fluida, fortificada con hierro|L031|
Leche parcialmente descremada fluida, fortificada con vitaminas A y D|L005|
Leche parcialmente descremada fluida, sin fortificación|L004|
Leche parcialmente descremada fluida, deslactosada, fortificada con vitaminas AyD|L012|
Bebida láctea parcialmente descremada fluida, baja en lactosa, fortificada con vitaminas A, D, B2, B9 y zinc|L068|
Probióticos descremados|L017|
Probióticos enteros|L018|
Bebida láctea a base de agua, yogurt, azúcar y saborizantes|Y019|Bebidas azucaradas
Flan envasado listo para consumir light|Y007|
Flan envasado listo para consumir|Y006|
Postre de leche bebible infantil|L013|Bebidas azucaradas
Postre de leche listo para consumir light|L015|
Postre de leche listo para consumir tipo Danonino|L016|
Postre de leche listo para consumir tipo Serenito|L014|
Yogur con fitoesteroles|Y014|
Yogur descremado|Y003|
Yogur descremado bebible|Y005|
Yogur descremado con cereales|Y012|
Yogur descremado con frutas|Y013|
Yogur descremado con frutas y cereales|Y017|
Yogur entero bebible saborizado|Y004|
Yogur entero con cereales|Y010|
Yogur entero con frutas|Y011|
Yogur entero con frutas y cereales|Y018|
Yogur entero natural|Y001|
Yogur entero saborizado|Y002|
Yogur descremado fortificado con calcio|Y015|
Yogur fortificado con hierro|Y016|
Adherezo deshidratado a base de queso Reggianito, sémola y almidones|Q033|
Muzzarella rebozada prefrita|Q043|
Muzzarella rebozada sin freir (pollería o granja)|Q048|
Quesillo (preparación regional, queso amasado artesanal)|Q049|
Queso Azul|Q022|
Queso blanco descremado, untable|Q003|
Queso blanco semidescremado, untable|Q002|
Queso Cheddar|Q042|
Queso Chubut|Q023|
Queso crema entero, untable|Q001|
Queso Cremoso|Q050|
Queso Cuartirolo|Q017|
Queso de cabra|Q045|
Queso de máquina|Q021|
Queso de vaca criollo|Q052|
Queso en hebras|Q034|
Queso en hebras light|Q035|
Queso Fontina|Q024|
Queso Fontina fundido light|Q051|
Queso fresco sin sal|Q047|
Queso fundido|Q005|
Queso Goya|Q036|
Queso Gruyére|Q025|
Queso Holanda|Q026|
Queso Limburguer|Q018|
Queso Mar del Plata|Q027|
Queso Pategrás|Q028|
Queso Mascarpone|Q044|
Queso Muzzarella|Q019|
Queso Parmesano|Q037|
Queso pasta blanda descremado|Q015|
Queso pasta blanda doble crema|Q016|
Queso pasta blanda, PROMEDIO (cuartirolo, doble crema, Limburguer, muzzarella)|Q006|
Queso pasta dura, PROMEDIO (Goya, Parmesano, Provolone, Reggianito, Sardo, Sbrinz)|Q008|
Queso pasta semidura, PROMEDIO (Azul, Chubut, Fontina, Gruyére, Holanda, Mar del Plata, Pategrás, Queso de máquina, Roquefort, Taif, Tandil)|Q007|
Queso porsalut sin sal light|Q046|
Queso Provolone|Q038|
Queso rallado envasado|Q032|
Queso Reggianito|Q039|
Queso Roquefort|Q029|
Queso Sardo|Q040|
Queso Sbrinz|Q041|
Queso Taif|Q030|
Queso Tandil|Q031|
Queso untable, PROMEDIO|Q000|
Queso untable tipo Finlandia|Q013|
Queso untable tipo Finlandia light|Q014|
Queso untable tipo Tholem|Q011|
Queso untable tipo Tholem light|Q012|
Quesos de pasta semidura descremados|Q020|
Ricota|Q004|
Ricota descremada|Q010|
Aguja|C078|
Asado con hueso***|C076|
Asado sin hueso***|C075|
Bife angosto con hueso***|C089|
Bife angosto sin hueso***|C088|
Bola de lomo|C082|
Bondiola (fiambre)|C094|
Butifarra|C123|
Cabra|C001|
Cantimpalo (fiambre)|C121|
Caracú|C109|
Carne picada común|C073|
Carne picada especial|C074|
Carpincho|C050|
Cerdo bondiola|C100|
Cerdo costillar tipo ribs|C099|
Cerdo costillita|C098|
Cerdo jamón (corte de carne)|C104|
Cerdo matambre|C101|
Cerdo paleta (corte de carne)|C105|
Cerdo pechito|C102|
Cerdo, PROMEDIO|C002|
Cerdo, patas, patitas|C115|
Charata (ave)|C064|
Charqui de cordero o chalona|C038|
Charqui de vaca|C037|
Chinchulines, tripa gorda|C007|
Chivito|C110|
Chivito, cabeza|C129|
Chorizo|C003|
Chorizo seco|C095|
Colita de cuadril|C093|
Conejo|C008|
Corazón, vacuno|C107|
Cordero, PROMEDIO|C009|
Cuadrada|C084|
Cuadril|C092|
Cuerito de cerdo|C052|
Espinazo, vacuno|C120|
Falda|C079|
Fiambre de cerdo|C051|
Garza|C062|
Guanaco, carne|C111|
Hamburguesa de carne vacuna (carnicería)|C118|
Hamburguesa de cerdo (carnicería)|C116|
Hamburguesa de pollo (pollería / granja)|C113|
Hamburguesa de carne vacuna, industrializada|C011|
Hamburguesa de carne vacuna, industrializada, rebozada|C124|
Hamburguesa de carne vacuna, industrializada light|C053|
Hamburguesa de pollo, industrializada|C010|
Hígado|C012|
Hígado de pollo|C122|
Jabalí|C103|
Jacaré|C061|
Jamón cocido|C004|
Jamón crudo|C005|
Lampalagua (serpiente)|C065|
Leberwurst|C054|
Liebre|C127|
Lengua|C013|
Lomito ahumado|C056|
Lomo|C085|
Llama|C128|
Longaniza|C055|
Matambre (corte de carne)|C080|
Matambre (fiambre)|C057|
Medallón de pollo relleno de jamón y queso, prefrito congelado|C114|
Milanesa de carne vacuna rebozada (carnicería)|C106|
Milanesa de cerdo (carnicería)|C126|
Milanesa de pollo rebozada (pollería / granja)|C068|
Milanesa de pollo, prefrita congelada|C069|
Mollejas|C014|
Mondongo|C015|
Morcilla|C016|
Mortadela|C017|
Nalga|C081|
Nuggets o patitas de pollo|C070|
Nutria|C112|
Osobuco|C108|
Paleta (corte de carne)|C087|
Paleta (fiambre)|C097|
Palomita (corte de carne)|C091|
Panceta|C006|
Pastrón|C058|
Paté / picadillo|C018|
Pato|C019|
Pavo|C020|
Peceto|C083|
Perdiz|C063|
Pollo con piel|C021|
Pollo sin piel|C023|
Pollo, alitas|C125|
Pollo, menudos|C022|
Pollo, pechuga sin piel|C059|
Queso de cerdo|C024|
Rana|C117|
Riñón|C025|
Roast beef|C086|
Salame|C026|
Salchicha de viena|C027|
Salchicha de viena light|C066|
Salchicha parrillera|C028|
Salchicha rellena con cheddar|C119|
Salchichón|C067|
Sesos|C029|
Suprema de pollo con espinaca y queso, prefrita congelada|C071|
Suprema de pollo con jamón y queso, prefrita congelada|C072|
Tatú|C096|
Tortuguita|C090|
Ubre|C030|
Vacío|C077|
Vacuno, cortes grasos, con hueso (ej: asado), PROMEDIO|C032|
Vacuno, cortes grasos, sin hueso (ej: vacío, carne picada común, aguja, falda, alita,duro, matambre), PROMEDIO|C031|
Vacuno, cortes magros, sin hueso (ej: nalga, bola de lomo, peceto, cuadrada, picada intensamente desgrasada), PROMEDIO|C033|
Vacuno, cortes magros, con hueso, PROMEDIO|C034|
Vacuno, cortes semigrasos, con hueso (ej: bife angosto), PROMEDIO|C036|
Vacuno, cortes semigrasos, sin hueso (ej: lomo, carne picada especial, roast beef,paleta, bife angosto, tortuguita, palomita), PROMEDIO|C035|
Vizcacha|C060|
Huevo de gallina, entero|H001|
Huevo de gallina, clara|H002|
Huevo de gallina, yema|H003|
Huevo de codorníz, entero|H004|
Abadejo|P029|
Almeja|P042|
Anchoa, enlatada en aceite|P010|
Anchoa, pasta|P009|
Atún, enlatado en aceite|P008|
Atún, enlatado al natural|P007|
Atún, lomito fresco|P028|
Bocaditos de pescado, prefritos|P041|
Brótola|P021|
Caballa, enlatada|P012|
Caballa, tronco|P011|
Calamar|P003|
Camarón|P004|
Cornalitos|P031|
Corvina|P023|
Dorado|P035|
Gatuzo|P024|
Hamburguesa de pescado (pescadería)|P046|
Kani Kama|P039|
Langostino|P005|
Lenguado|P022|
Medallón de pescado relleno con queso y espinaca, prefrito|P043|
Mejillón|P006|
Merluza|P020|
Merluza, enlatada en agua y aceite|P045|
Milanesa de pescado, prefrita|P040|
Pacú|P036|
Palometa|P033|
Pejerrey|P030|
Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.), PROMEDIO |P001|
Pescados de río (ej: dorado, palometa, surubí, trucha, etc.), PROMEDIO|P002|
Pollo de mar|P025|
Pulpo|P038|
Rabas (restaurant)|P047|
Sábalo|P037|
Salmón blanco|P026|
Salmón rosado|P027|
Sardinas, enlatadas al natural|P044|
Sardinas, enlatadas en aceite|P013|
Surubí|P034|
Trucha|P032|
Aceite comestible mezcla|Z003|
Aceite comestible mezcla, para cocción|Z030|
Aceite de canola|Z005|
Aceite de canola, para cocción|Z032|
Aceite de chía|Z023|
Aceite de chía, para cocción|Z036|
Aceite de coco|Z022|
Aceite de coco, para cocción|Z034|
Aceite de girasol|Z001|
Aceite de girasol alto oleico|Z020|
Aceite de girasol alto oleico, para cocción|Z027|
Aceite de girasol, para cocción|Z026|
Aceite de maíz|Z002|
Aceite de maíz, para cocción|Z028|
Aceite mezcla con oliva|Z021|
Aceite mezcla con oliva, para cocción|Z029|
Aceite de oliva|Z004|
Aceite de oliva, para cocción|Z031|
Aceite de sésamo|Z042|
Aceite de soja|Z007|
Aceite de soja, para cocción|Z035|
Aceite de uva|Z006|
Aceite de uva, para cocción|Z033|
Aceite para cocción, PROMEDIO|Z025|
Aceite, PROMEDIO|Z000|
Rocío vegetal|Z024|
Rocío vegetal, para cocción|Z037|
Alimento a base de almendras (leche de almendras)|Z043|
Alimento a base de castañas (leche de castañas)|Z040|
Alimento a base de almendras con chocolate (chocolatada)|Z050|
Almendra|Z008|
Avellana|Z009|
Gomasio (sésamo integral tostado y molido con sal marina)|Z045|
Maní tostado salado|Z011|Copetín
Maní tostado sin sal|Z010|
Mantequilla de maní|Z048|
Mezcla de semillas (sésamo, amapola, amaranto) y almendras o similar,fortificado con calcio|Z047|
Mix de frutos secos, semillas y pasas de uva|Z016|
Nuez|Z012|
Pistacho|Z013|
Pistacho salado|Z038|Copetín
Semilla de chía|Z041|
Semilla de girasol|Z014|
Semilla de girasol con sal y con cáscara|Z049|
Semilla de sésamo|Z015|
Semilla de zapallo|Z044|
Semilla de amapola|Z046|
Semilla de lino|Z039|
Azúcar blanca molida|D003|
Azúcar light|D070|
Azúcar impalpable|D127|
Azúcar morena / azúcar mascabo|D004|
Edulcorante en polvo con aspartamo y acesulfame k|D083|
Edulcorante en polvo con sacarina y ciclamato (tipo Hileret clásico 1 a 10, Sucaryl clásico)|D084|
Edulcorante en polvo con stevia|D085|
Edulcorante en polvo, PROMEDIO|D071|
Edulcorante en polvo con sucralosa|D086|
Edulcorante en tabletas o comprimidos con aspartamo y acesulfame k|D093|
Edulcorante en tabletas o comprimidos con ciclamato y sacarina|D094|
Edulcorante en tabletas o comprimidos sin identificar|D092|
Edulcorante líquido con ciclamato, sacarina y sucralosa|D091|
Edulcorante líquido con aspartamo|D088|
Edulcorante líquido con sacarina y ciclamato|D089|
Edulcorante líquido con stevia|D072|
Edulcorante líquido con sucralosa|D090|
Edulcorante líquido, PROMEDIO|D087|
Glucosa|D116|
Alfajor de arroz|D037|Golosinas
Alfajor de chocolate|D001|Golosinas
Alfajor de chocolate con relleno tipo mousse|D028|Golosinas
Alfajor de dulce de leche|D002|Golosinas
Alfajor de fruta|D036|Golosinas
Alfajor de maicena|D029|Golosinas
Alfajor de miel|D107|Golosinas
Alfajor light|D035|Golosinas
Alfajor santafesino, tapas cubiertas con glasé|D104|Golosinas
Algodón de azúcar|D118|Golosinas
Bananita con cobertura de chocolate|D102|Golosinas
Barra proteica|D132|Golosinas
Barra de arroz rellena bañada|D041|Golosinas
